frame,v1_id,v1_class,v2_id,v2_class,conflict_world_x,conflict_world_y,conflict_px_x,conflict_px_y,aggressor_id,passive_id,angular_says,ttc_says,methods_agree,ttc1_sec,ttc2_sec
222,3255,two wheeler,4903,lcv,37.9917,26.7333,759.8,534.7,3255,4903,uncertain,v1,True,3.365,5.794
243,197,suv,4345,two wheeler,55.9272,29.141,1118.5,582.8,4345,197,uncertain,v2,True,6.976,4.85
247,3255,suv,5594,two wheeler,35.298,21.8338,706.0,436.7,3255,5594,uncertain,v1,True,5.586,6.001
256,3255,lcv,5883,two wheeler,36.2402,22.7698,724.8,455.4,5883,3255,uncertain,v2,True,4.223,3.073
269,3255,two wheeler,6070,two wheeler,37.3352,24.7143,746.7,494.3,3255,6070,uncertain,v1,True,2.771,4.94
283,1100,lcv,6251,two wheeler,35.7662,25.194,715.3,503.9,1100,6251,uncertain,v1,True,3.432,4.733
284,6070,two wheeler,6251,lcv,35.6815,25.0336,713.6,500.7,6070,6251,uncertain,v1,True,3.158,4.817
285,5883,two wheeler,6070,two wheeler,35.4653,25.066,709.3,501.3,5883,6070,uncertain,v1,True,0.493,2.947
294,6393,two wheeler,6399,two wheeler,45.5408,25.6935,910.8,513.9,6393,6399,uncertain,v1,True,1.545,3.245
300,1100,two wheeler,5883,two wheeler,35.492,25.1651,709.8,503.3,5883,1100,uncertain,v2,True,2.487,0.337
310,5883,two wheeler,6545,hatchback,35.8426,24.2093,716.9,484.2,5883,6545,uncertain,v1,True,0.866,2.224
342,6251,two wheeler,6545,three wheeler,35.8391,24.2949,716.8,485.9,6545,6251,uncertain,v2,True,4.003,1.571
346,6070,two wheeler,7083,two wheeler,37.6641,24.7308,753.3,494.6,7083,6070,uncertain,v2,True,2.108,0.356
346,6545,two wheeler,7083,two wheeler,37.5717,24.4121,751.4,488.2,7083,6545,uncertain,v2,True,2.204,0.599
347,1100,two wheeler,7083,two wheeler,37.6066,24.6364,752.1,492.7,7083,1100,uncertain,v2,True,2.131,0.447
360,4841,sedan,6127,suv,52.8511,39.176,1057.0,783.5,4841,6127,uncertain,v1,True,3.402,4.979
360,6127,suv,7182,two wheeler,52.6465,39.8156,1052.9,796.3,7182,6127,uncertain,v2,True,5.541,3.114
370,1100,three wheeler,7338,two wheeler,38.6243,24.5796,772.5,491.6,1100,7338,uncertain,v1,True,2.063,4.258
370,6070,two wheeler,7338,two wheeler,38.6512,24.6679,773.0,493.4,6070,7338,uncertain,v1,True,1.997,4.196
370,6545,two wheeler,7338,two wheeler,38.5397,24.3023,770.8,486.0,6545,7338,uncertain,v1,True,1.963,4.45
373,6127,two wheeler,7364,three wheeler,52.2424,41.7458,1044.8,834.9,7364,6127,uncertain,v2,True,6.329,4.6
388,7253,two wheeler,7523,two wheeler,41.0093,31.8041,820.2,636.1,7523,7253,uncertain,v2,True,4.302,3.324
401,197,suv,6399,three wheeler,50.438,30.3104,1008.8,606.2,197,6399,uncertain,v1,True,5.119,6.813
434,6399,three wheeler,7913,three wheeler,49.5774,30.1714,991.5,603.4,6399,7913,uncertain,v1,True,4.861,6.204
441,6399,three wheeler,7982,two wheeler,49.6265,30.2488,992.5,605.0,6399,7982,uncertain,v1,True,4.733,6.97
453,7913,three wheeler,7962,two wheeler,50.8795,30.4746,1017.6,609.5,7913,7962,uncertain,v1,True,5.295,5.786
455,6399,three wheeler,7962,three wheeler,48.9771,29.4921,979.5,589.8,7962,6399,uncertain,v2,True,3.532,2.973
476,6070,three wheeler,6657,lcv,44.856,24.9478,897.1,499.0,6070,6657,uncertain,v1,True,2.759,5.239
511,8639,lcv,8771,two wheeler,27.3211,28.1494,546.4,563.0,8771,8639,uncertain,v2,True,3.504,2.53
513,6070,two wheeler,8794,suv,47.3345,25.3807,946.7,507.6,8794,6070,uncertain,v2,True,3.666,1.61
514,8639,two wheeler,8800,two wheeler,27.3658,28.2122,547.3,564.2,8800,8639,uncertain,v2,True,3.404,2.73
539,8415,two wheeler,8980,two wheeler,37.1617,22.982,743.2,459.6,8980,8415,uncertain,v2,True,4.648,3.03
542,8415,two wheeler,8951,two wheeler,36.817,22.3612,736.3,447.2,8951,8415,uncertain,v2,True,5.751,4.939
