track_id,class_name,entry_direction,exit_direction,violation_start_frame,violation_type,reason
3176,car,NORTH,WEST,1530,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
3231,person,NORTH,WEST,1557,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
3311,motorcycle,WEST,SOUTH,1597,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
3379,person,SOUTH,WEST,1635,Unsafe Roundabout Shortcut,SOUTH to WEST shortcut without roundabout traversal during congestion
3386,motorcycle,SOUTH,WEST,1638,Unsafe Roundabout Shortcut,SOUTH to WEST shortcut without roundabout traversal during congestion
3430,motorcycle,SOUTH,EAST,1654,Unsafe Roundabout Shortcut,SOUTH to EAST shortcut without roundabout traversal during congestion
3474,person,WEST,SOUTH,1671,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
3506,motorcycle,WEST,SOUTH,1684,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
3715,person,EAST,NORTH,1761,Unsafe Roundabout Shortcut,EAST to NORTH shortcut without roundabout traversal during congestion
3820,motorcycle,WEST,SOUTH,1791,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
4073,motorcycle,EAST,NORTH,1871,Unsafe Roundabout Shortcut,EAST to NORTH shortcut without roundabout traversal during congestion
4145,person,SOUTH,WEST,1904,Unsafe Roundabout Shortcut,SOUTH to WEST shortcut without roundabout traversal during congestion
4178,person,WEST,SOUTH,1917,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
4197,person,WEST,SOUTH,1925,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
4243,motorcycle,WEST,SOUTH,1943,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
4273,motorcycle,SOUTH,WEST,1968,Unsafe Roundabout Shortcut,SOUTH to WEST shortcut without roundabout traversal during congestion
4377,motorcycle,SOUTH,WEST,2021,Unsafe Roundabout Shortcut,SOUTH to WEST shortcut without roundabout traversal during congestion
4458,car,NORTH,WEST,2061,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
4562,car,WEST,SOUTH,2112,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
4636,person,SOUTH,WEST,2142,Unsafe Roundabout Shortcut,SOUTH to WEST shortcut without roundabout traversal during congestion
4833,car,NORTH,WEST,2229,Unsafe Roundabout Shortcut,NORTH to WEST shortcut without roundabout traversal during congestion
4843,person,EAST,SOUTH,2233,Unsafe Roundabout Shortcut,EAST to SOUTH shortcut without roundabout traversal during congestion
4914,bus,WEST,SOUTH,2261,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
4965,motorcycle,WEST,SOUTH,2283,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
4976,person,WEST,SOUTH,2287,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
5024,motorcycle,WEST,SOUTH,2313,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
5044,person,WEST,SOUTH,2323,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
5045,person,SOUTH,WEST,2323,Unsafe Roundabout Shortcut,SOUTH to WEST shortcut without roundabout traversal during congestion
5307,person,SOUTH,WEST,2454,Unsafe Roundabout Shortcut,SOUTH to WEST shortcut without roundabout traversal during congestion
5325,motorcycle,EAST,NORTH,2463,Unsafe Roundabout Shortcut,EAST to NORTH shortcut without roundabout traversal during congestion
5646,motorcycle,WEST,SOUTH,2600,Unsafe Roundabout Shortcut,WEST to SOUTH shortcut without roundabout traversal during congestion
